1.99,0.23011,0.8351,-0.94979
2,0.32211,0.8481,-0.94698
2.01,0.41205,0.85268,-0.93279
2.02,0.49888,0.84888,-0.90738
2.03,0.58158,0.83682,-0.87101
2.04,0.65915,0.8167,-0.82411
2.05,0.73066,0.78881,-0.76724
2.06,0.79525,0.7535,-0.70106
2.07,0.8521,0.71118,-0.62638
2.08,0.90051,0.66234,-0.54409
2.09,0.93987,0.60751,-0.45518
2.1,0.96965,0.54727,-0.36073
2.11,0.98945,0.48224,-0.26187
2.12,0.99896,0.41307,-0.15979
2.13,0.99803,0.34044,-0.055711
2.14,0.98658,0.26502,0.049123
2.15,0.9647,0.18752,0.15347
2.16,0.93257,0.10862,0.2561
2.17,0.89051,0.029016,0.3558
2.18,0.83894,-0.050637,0.45143
2.19,0.77841,-0.12969,0.54189
2.2,0.70958,-0.20755,0.62614
2.21,0.6332,-0.28363,0.70327
2.22,0.55012,-0.3574,0.77242
2.23,0.46125,-0.42838,0.83286
2.24,0.36762,-0.49614,0.88398
2.25,0.27026,-0.56029,0.92528
2.26,0.17031,-0.62052,0.9564
2.27,0.068892,-0.67656,0.97711
2.28,-0.032821,-0.72819,0.98731
2.29,-0.13366,-0.77527,0.98703
2.3,-0.23245,-0.81771,0.97645
2.31,-0.32805,-0.85545,0.95584
2.32,-0.41935,-0.88851,0.92563
2.33,-0.50529,-0.91696,0.88634
2.34,-0.58486,-0.94089,0.83861
2.35,-0.65712,-0.96044,0.78317
2.36,-0.72125,-0.97581,0.72084
2.37,-0.77647,-0.98719,0.65251
2.38,-0.82214,-0.99483,0.57911
2.39,-0.85773,-0.99899,0.50166
2.4,-0.88282,-0.99992,0.42116
2.41,-0.8971,-0.99792,0.33867
2.42,-0.90041,-0.99326,0.25523
2.43,-0.89271,-0.98624,0.17186
2.44,-0.87409,-0.97711,0.089581
2.45,-0.84476,-0.96616,0.0093494
2.46,-0.80507,-0.95362,-0.06792
2.47,-0.75549,-0.93973,-0.14138
2.48,-0.69659,-0.92469,-0.21025
2.49,-0.62908,-0.9087,-0.27385
2.5,-0.55373,-0.8919,-0.33159
2.51,-0.47144,-0.87442,-0.38296
2.52,-0.38316,-0.85637,-0.42757
2.53,-0.28993,-0.83782,-0.46515
2.54,-0.19285,-0.8188,-0.49553
2.55,-0.093028,-0.79932,-0.51864
2.56,0.0083603,-0.77939,-0.53453
2.57,0.11014,-0.75896,-0.54336
2.58,0.21115,-0.73797,-0.5454
2.59,0.31021,-0.71634,-0.54099
2.6,0.40619,-0.69398,-0.53058
2.61,0.498,-0.67079,-0.5147
2.62,0.5846,-0.64666,-0.49395
2.63,0.66502,-0.62145,-0.46898
2.64,0.73836,-0.59506,-0.44052
2.65,0.80383,-0.56737,-0.4093
2.66,0.86072,-0.53827,-0.37609
2.67,0.90843,-0.50766,-0.3417
2.68,0.94647,-0.47546,-0.3069
2.69,0.9745,-0.44161,-0.27247
2.7,0.99225,-0.40605,-0.23916
2.71,0.99963,-0.36876,-0.2077
2.72,0.99665,-0.32975,-0.17875
2.73,0.98343,-0.28905,-0.15293
2.74,0.96025,-0.24669,-0.1308
2.75,0.92748,-0.20278,-0.11283
2.76,0.88562,-0.15741,-0.099419
2.77,0.83528,-0.11073,-0.090882
2.78,0.77715,-0.062895,-0.087442
2.79,0.71203,-0.014089,-0.089231
2.8,0.6408,0.035477,-0.096289
2.81,0.56439,0.085576,-0.10856
2.82,0.4838,0.13596,-0.1259
2.83,0.40006,0.18638,-0.14807
2.84,0.31426,0.23656,-0.17476
2.85,0.22747,0.28623,-0.20556
2.86,0.14078,0.33512,-0.24001
2.87,0.05527,0.38295,-0.27757
2.88,-0.028013,0.42945,-0.31766
2.89,-0.10806,0.47436,-0.35963
2.9,-0.1839,0.51745,-0.40282
2.91,-0.25464,0.55849,-0.44652
2.92,-0.31946,0.59726,-0.49003
2.93,-0.37762,0.6336,-0.53263
2.94,-0.42848,0.66735,-0.57361
2.95,-0.47148,0.69839,-0.61227
2.96,-0.50619,0.72661,-0.64795
2.97,-0.5323,0.75197,-0.68003
2.98,-0.54959,0.77444,-0.70792
2.99,-0.55797,0.79403,-0.7311
3,-0.55747,0.81077,-0.74911
3.01,-0.54824,0.82475,-0.76155
3.02,-0.53055,0.83606,-0.7681
3.03,-0.50476,0.84486,-0.76852
3.04,-0.47137,0.85129,-0.76266
3.05,-0.43094,0.85556,-0.75043
3.06,-0.38415,0.85787,-0.73184
3.07,-0.33176,0.85844,-0.70698
3.08,-0.27458,0.85753,-0.67601
3.09,-0.21351,0.85539,-0.63919
3.1,-0.14947,0.85226,-0.59683
3.11,-0.083447,0.84841,-0.54932
3.12,-0.016426,0.84409,-0.49709
